stock,delta_percent,delta_price
PLD,2.5919710565209533,-100.0
PRU,2.7113402330593686,-100.0
PEG,2.430615218426442,-100.0
PSA,4.206868843383932,-100.0
PHM,3.1765945793827766,-100.0
PVH,5.173258379339316,-100.0
QRVO,3.887129419666888,-100.0
PWR,3.041864925044818,-100.0
QCOM,2.562512662007245,-100.0
DGX,1.7398276328370366,-100.0
RL,2.818537348331548,-100.0
RJF,2.1327168449041167,-100.0
RTX,3.192328189038188,-100.0
O,3.006667195710775,-100.0
REG,2.8622512172568984,-100.0
REGN,2.139769962004815,-100.0
RF,4.130225386884541,-100.0
RSG,1.7358608279684373,-100.0
RMD,0.9750300881895353,-100.0
RHI,2.990827993619421,-100.0
ROK,1.9547587919419644,-100.0
ROL,5.098880346293401,-100.0
ROP,1.9666926284314583,-100.0
ROST,2.8159576089047795,-100.0
RCL,5.212067722008948,-100.0
SPGI,0.9674269710422306,-100.0
CRM,1.7601724527011857,-100.0
SBAC,2.1034793369296803,-100.0
SLB,2.869923443731829,-100.0
STX,2.258290557481274,-100.0
SEE,2.5401055314553997,-100.0
SRE,1.9202300383631516,-100.0
NOW,2.5266791131803106,-100.0
SHW,1.2019221827253563,-100.0
SPG,3.812109763258104,-100.0
SWKS,3.1219176486649736,-100.0
SLG,3.481232835164249,-100.0
SNA,2.924006213745439,-100.0
SO,2.9899197616573447,-100.0
LUV,3.1024625875955363,-100.0
SWK,2.007923095237166,-100.0
SBUX,2.8584943190297474,-100.0
STT,2.659249194938907,-100.0
STE,1.342642342091403,-100.0
SYK,2.4622545209454074,-100.0
SIVB,6.63217753496591,-100.0
SYF,3.7481258941590236,-100.0
SNPS,2.305167526391218,-100.0
SYY,4.074269934990789,-100.0
TMUS,2.236499691343336,-100.0
TROW,1.6693060240356545,-100.0
TTWO,2.0318361487006356,-100.0
TPR,3.375626866946054,-100.0
TGT,4.8265868358693576,-100.0
TEL,2.7893306315651123,-100.0
TDY,2.529066452872288,-100.0
TFX,2.085103701165187,-100.0
TER,4.2579930621307,-100.0
TSLA,5.220771926368513,-100.0
TXN,3.2473216599686965,-100.0
TXT,4.33806977315319,-100.0
TMO,1.263580226541065,-100.0
TJX,3.0386673054937727,-100.0
TSCO,3.238054128795694,-100.0
TT,2.011461112316073,-100.0
TDG,3.55697524933297,-100.0
TRV,4.983878241262683,-100.0
TRMB,2.3641275813087708,-100.0
TFC,3.819870889842478,-100.0
TWTR,2.0374092073584165,-100.0
TYL,2.6520335442785363,-100.0
TSN,1.390890396703493,-100.0
UDR,3.8568175821426354,-100.0
ULTA,2.2055616639927376,-100.0
USB,2.0054736908285493,-100.0
UAA,2.8944461246453765,-100.0
UA,2.2607796783740968,-100.0
UNP,3.020884213284037,-100.0
UAL,3.939292969533683,-100.0
UNH,3.1893210155694813,-100.0
UPS,4.127546128292673,-100.0
URI,4.712656765132698,-100.0
UHS,2.5231468911817934,-100.0
UNM,3.0434787716592044,-100.0
VLO,3.1933924929069737,-100.0
VAR,0.19858502327127658,-100.0
VTR,3.2721938627149183,-100.0
VRSN,2.6710674721982173,-100.0
VRSK,1.3041187078782162,-100.0
VZ,1.0187661966964245,-100.0
VRTX,1.7113624893918935,-100.0
VFC,2.966479359338591,-100.0
VIAC,3.343459479688267,-100.0
VTRS,2.4278443781642696,-100.0
V,6.424010524197807,-100.0
VNT,2.3477089245639995,-100.0
VNO,3.0405376016702186,-100.0
VMC,1.9605214113994882,-100.0
WRB,3.1076818753898583,-100.0
WAB,2.5046812556433604,-100.0
WMT,2.0015444385528887,-100.0
WBA,2.2905149397206466,-100.0
DIS,2.2344043085495136,-100.0
