stock,delta_percent,delta_price
ETSY,1.496020095254467,-100.0
EVRG,0.2987609642017612,-100.0
ES,0.408187018055738,-100.0
RE,0.09483577580704314,-100.0
EXC,0.6442102368174055,-100.0
EXPE,1.742946744761372,-100.0
EXPD,0.6645820046950006,-100.0
EXR,1.2197993914558565,-100.0
XOM,0.9574271280639514,-100.0
FFIV,0.6617265866126543,-100.0
FB,0.785175682208684,-100.0
FAST,0.29233533395846895,-100.0
FRT,0.23020290172032876,-100.0
FDX,0.7480005415551358,-100.0
FIS,0.6300880634679203,-100.0
FITB,0.764397409588397,-100.0
FE,0.4662000257425377,-100.0
FRC,0.9854711900514337,-100.0
FISV,0.5578803089513598,-100.0
FLT,0.2790271376182035,-100.0
FLIR,0.4688170758022721,-100.0
FMC,0.6668454548267646,-100.0
F,1.2789755754177985,-100.0
FTNT,0.9654509716623466,-100.0
FTV,0.7834423759682085,-100.0
FBHS,0.4123426984792482,-100.0
FOXA,1.4716123177025204,-100.0
FOX,1.0393516090782053,-100.0
BEN,0.7786849745214798,-100.0
FCX,1.27288818359375,-100.0
GPS,0.6893070789635285,-100.0
GRMN,0.4557552977559113,-100.0
IT,0.9309014634133299,-100.0
GNRC,0.8092186814485203,-100.0
GD,0.5052059320212793,-100.0
GE,1.319876357014493,-100.0
GIS,0.7153348291544588,-100.0
GM,1.2705156943126208,-100.0
GPC,0.4685411162134843,-100.0
GILD,0.8218787120096382,-100.0
GL,0.4427059789303656,-100.0
GPN,0.48318493844272786,-100.0
GS,0.44219919287597753,-100.0
GWW,0.0,-100.0
HAL,1.4436921421920097,-100.0
HBI,1.1952179881974254,-100.0
HIG,1.6730014815529943,-100.0
HAS,0.19677138174216943,-100.0
HCA,0.45433006582590674,-100.0
PEAK,0.6666637602306548,-100.0
HSIC,0.7546030544520671,-100.0
HSY,0.4593189577068064,-100.0
HES,1.3329368790643834,-100.0
HPE,0.9920672839941849,-100.0
HLT,0.7570132298084397,-100.0
HFC,2.9363373784052285,-100.0
HOLX,0.6576725097132653,-100.0
HD,0.6991032728607752,-100.0
HON,0.5004231037635436,-100.0
HRL,0.4122877135839322,-100.0
HST,1.2110673738449487,-100.0
HWM,0.7734442984445489,-100.0
HPQ,0.6523132159425542,-100.0
HUM,0.3882352604877306,-100.0
HBAN,1.2337697322342547,-100.0
HII,0.8583127872794155,-100.0
IEX,0.5500111161630098,-100.0
